,naive,seq2852@38,seq4549@125,seq238@1003,seq4946@578,seq11600@101,seq9706@38,seq1947@380,seq3658@164,seq8334@170,seq906@120,seq282@1136,seq3328@89,seq13028@126,seq13119@87,seq6231@104,seq11859@83,seq3788@87,seq9041@61,seq3739@76,seq426@558,seq2142@54,seq13648@59,seq5990@52,seq25555@49,seq1186@368,seq3398@48,seq10916@59,seq1333@35,seq6494@145,seq1535@234,seq917@74,seq1012@56,seq1442@182,seq2956@120,seq1011@113,seq13941@111,seq76859@51,seq8909@31
naive,1.0,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq2852@38,0.9999999999999999,1.0,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq4549@125,0.9878787878787878,0.9878787878787878,1.0,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999
seq238@1003,0.9999999999999999,0.9999999999999999,0.9878787878787878,1.0,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq4946@578,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,1.0,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9757575757575757,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9757575757575757,0.9757575757575757,0.9757575757575757
seq11600@101,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,1.0,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq9706@38,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,1.0,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq1947@380,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,1.0,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
seq3658@164,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9757575757575757,0.9878787878787878,0.9878787878787878,0.9878787878787878,1.0,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999
seq8334@170,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9757575757575757,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9878787878787878,0.9878787878787878
