Folder,N_features_used,Features_used
01,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
02,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
03,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
04,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
05,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
06,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
07,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
08,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
09,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
10,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
11,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
12,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
13,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
14,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
15,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
16,10,Min_Eigenvector; Clustering_Coefficient; Min_CA_Distance; AAC_C; Average_Phi.1; COM_Y; AAC_L; Z_Spread; Avg_Degree; Isoelectric_Point
