Folder,Status,N_proteins,N_pairs,N_features_used
01,ok,32,496,10
02,ok,39,741,10
03,ok,18,153,10
04,ok,68,2278,10
05,ok,28,378,10
06,ok,44,946,10
07,ok,64,2016,10
08,ok,80,3160,10
09,ok,10,45,10
10,ok,23,253,10
11,ok,42,861,10
12,ok,66,2145,10
13,ok,69,2346,10
14,ok,65,2080,10
15,ok,115,6555,10
16,ok,90,4005,10
17,ok,69,2346,10
18,ok,8,28,10
19,ok,69,2346,10
20,ok,99,4851,7
21,ok,52,1326,10
22,ok,48,1128,10
23,ok,89,3916,10
24,ok,50,1225,10
26,ok,70,2415,10
27,ok,38,703,10
28,ok,27,351,10
29,ok,32,496,10
30,ok,7,21,10
31,ok,81,3240,10
32,ok,5,10,10
33,ok,50,1225,10
34,ok,67,2211,10
35,ok,44,946,10
37,ok,70,2415,10
40,ok,95,4465,10
41,ok,75,2775,10
42,ok,12,66,10
43,ok,46,1035,10
44,ok,56,1540,10
45,ok,65,2080,10
47,ok,17,136,10
49,ok,31,465,10
50,ok,40,780,10
51,ok,67,2211,10
52,ok,13,78,10
54,ok,24,276,10
57,ok,95,4465,10
