Protein1,Protein2,SpearmanSimilarity
seq4713@5,seq1939@10,0.9999999999999999
seq4713@5,seq1468@19,0.9999999999999999
seq4713@5,seq17439@3,0.9999999999999999
seq4713@5,seq1426@3,0.9999999999999999
seq4713@5,seq4392@17,0.9999999999999999
seq4713@5,seq8487@7,0.9999999999999999
seq4713@5,seq575@28,0.9878787878787878
seq4713@5,seq2476@5,0.9999999999999999
seq4713@5,seq1043@17,0.9999999999999999
seq4713@5,seq8185@4,0.9999999999999999
seq4713@5,seq2783@12,0.9999999999999999
seq4713@5,seq3834@14,0.9999999999999999
seq4713@5,seq9930@4,0.9999999999999999
seq4713@5,seq358@31,0.9999999999999999
seq4713@5,seq3308@3,0.9999999999999999
seq4713@5,seq3972@4,0.9878787878787878
seq4713@5,seq7774@3,0.9999999999999999
seq4713@5,seq6796@5,0.9999999999999999
seq4713@5,seq2319@13,0.9999999999999999
seq4713@5,seq10736@3,0.9999999999999999
seq4713@5,seq4642@8,0.9999999999999999
seq4713@5,seq14554@3,0.9999999999999999
seq4713@5,seq1728@20,0.9999999999999999
seq4713@5,seq2431@7,0.9999999999999999
seq4713@5,seq2959@7,0.9999999999999999
seq4713@5,seq153@29,0.9999999999999999
seq4713@5,seq1179@22,0.9999999999999999
seq4713@5,seq616@19,0.9999999999999999
seq4713@5,seq173@14,0.9999999999999999
seq4713@5,seq1174@13,0.9999999999999999
seq4713@5,seq454@12,0.9999999999999999
seq4713@5,seq733@12,0.9999999999999999
seq4713@5,seq5372@9,0.9878787878787878
seq4713@5,seq1182@7,0.9999999999999999
seq4713@5,seq2663@7,0.9999999999999999
seq4713@5,seq5049@7,0.9999999999999999
seq4713@5,seq13013@6,0.9999999999999999
seq4713@5,seq3871@4,0.9878787878787878
seq4713@5,seq1974@6,0.9878787878787878
seq4713@5,seq714@9,0.9999999999999999
seq4713@5,seq1513@4,0.9999999999999999
seq4713@5,naive,0.9999999999999999
seq4713@5,seq3@11048,0.9999999999999999
seq1939@10,seq1468@19,0.9999999999999999
seq1939@10,seq17439@3,0.9999999999999999
seq1939@10,seq1426@3,0.9999999999999999
seq1939@10,seq4392@17,0.9999999999999999
seq1939@10,seq8487@7,0.9999999999999999
seq1939@10,seq575@28,0.9878787878787878
seq1939@10,seq2476@5,0.9999999999999999
seq1939@10,seq1043@17,0.9999999999999999
seq1939@10,seq8185@4,0.9999999999999999
seq1939@10,seq2783@12,0.9999999999999999
seq1939@10,seq3834@14,0.9999999999999999
seq1939@10,seq9930@4,0.9999999999999999
seq1939@10,seq358@31,0.9999999999999999
seq1939@10,seq3308@3,0.9999999999999999
seq1939@10,seq3972@4,0.9878787878787878
seq1939@10,seq7774@3,0.9999999999999999
seq1939@10,seq6796@5,0.9999999999999999
seq1939@10,seq2319@13,0.9999999999999999
seq1939@10,seq10736@3,0.9999999999999999
seq1939@10,seq4642@8,0.9999999999999999
seq1939@10,seq14554@3,0.9999999999999999
seq1939@10,seq1728@20,0.9999999999999999
seq1939@10,seq2431@7,0.9999999999999999
seq1939@10,seq2959@7,0.9999999999999999
seq1939@10,seq153@29,0.9999999999999999
seq1939@10,seq1179@22,0.9999999999999999
seq1939@10,seq616@19,0.9999999999999999
seq1939@10,seq173@14,0.9999999999999999
seq1939@10,seq1174@13,0.9999999999999999
seq1939@10,seq454@12,0.9999999999999999
seq1939@10,seq733@12,0.9999999999999999
seq1939@10,seq5372@9,0.9878787878787878
seq1939@10,seq1182@7,0.9999999999999999
seq1939@10,seq2663@7,0.9999999999999999
seq1939@10,seq5049@7,0.9999999999999999
seq1939@10,seq13013@6,0.9999999999999999
seq1939@10,seq3871@4,0.9878787878787878
seq1939@10,seq1974@6,0.9878787878787878
seq1939@10,seq714@9,0.9999999999999999
seq1939@10,seq1513@4,0.9999999999999999
seq1939@10,naive,0.9999999999999999
seq1939@10,seq3@11048,0.9999999999999999
seq1468@19,seq17439@3,0.9999999999999999
seq1468@19,seq1426@3,0.9999999999999999
seq1468@19,seq4392@17,0.9999999999999999
seq1468@19,seq8487@7,0.9999999999999999
seq1468@19,seq575@28,0.9878787878787878
seq1468@19,seq2476@5,0.9999999999999999
seq1468@19,seq1043@17,0.9999999999999999
seq1468@19,seq8185@4,0.9999999999999999
seq1468@19,seq2783@12,0.9999999999999999
seq1468@19,seq3834@14,0.9999999999999999
seq1468@19,seq9930@4,0.9999999999999999
seq1468@19,seq358@31,0.9999999999999999
seq1468@19,seq3308@3,0.9999999999999999
seq1468@19,seq3972@4,0.9878787878787878
seq1468@19,seq7774@3,0.9999999999999999
seq1468@19,seq6796@5,0.9999999999999999
seq1468@19,seq2319@13,0.9999999999999999
seq1468@19,seq10736@3,0.9999999999999999
seq1468@19,seq4642@8,0.9999999999999999
seq1468@19,seq14554@3,0.9999999999999999
seq1468@19,seq1728@20,0.9999999999999999
seq1468@19,seq2431@7,0.9999999999999999
seq1468@19,seq2959@7,0.9999999999999999
seq1468@19,seq153@29,0.9999999999999999
seq1468@19,seq1179@22,0.9999999999999999
seq1468@19,seq616@19,0.9999999999999999
seq1468@19,seq173@14,0.9999999999999999
seq1468@19,seq1174@13,0.9999999999999999
seq1468@19,seq454@12,0.9999999999999999
seq1468@19,seq733@12,0.9999999999999999
seq1468@19,seq5372@9,0.9878787878787878
seq1468@19,seq1182@7,0.9999999999999999
seq1468@19,seq2663@7,0.9999999999999999
seq1468@19,seq5049@7,0.9999999999999999
seq1468@19,seq13013@6,0.9999999999999999
seq1468@19,seq3871@4,0.9878787878787878
seq1468@19,seq1974@6,0.9878787878787878
seq1468@19,seq714@9,0.9999999999999999
seq1468@19,seq1513@4,0.9999999999999999
seq1468@19,naive,0.9999999999999999
seq1468@19,seq3@11048,0.9999999999999999
seq17439@3,seq1426@3,0.9999999999999999
seq17439@3,seq4392@17,0.9999999999999999
seq17439@3,seq8487@7,0.9999999999999999
seq17439@3,seq575@28,0.9878787878787878
seq17439@3,seq2476@5,0.9999999999999999
seq17439@3,seq1043@17,0.9999999999999999
seq17439@3,seq8185@4,0.9999999999999999
seq17439@3,seq2783@12,0.9999999999999999
seq17439@3,seq3834@14,0.9999999999999999
seq17439@3,seq9930@4,0.9999999999999999
seq17439@3,seq358@31,0.9999999999999999
seq17439@3,seq3308@3,0.9999999999999999
seq17439@3,seq3972@4,0.9878787878787878
seq17439@3,seq7774@3,0.9999999999999999
seq17439@3,seq6796@5,0.9999999999999999
seq17439@3,seq2319@13,0.9999999999999999
seq17439@3,seq10736@3,0.9999999999999999
seq17439@3,seq4642@8,0.9999999999999999
seq17439@3,seq14554@3,0.9999999999999999
seq17439@3,seq1728@20,0.9999999999999999
seq17439@3,seq2431@7,0.9999999999999999
seq17439@3,seq2959@7,0.9999999999999999
seq17439@3,seq153@29,0.9999999999999999
seq17439@3,seq1179@22,0.9999999999999999
seq17439@3,seq616@19,0.9999999999999999
seq17439@3,seq173@14,0.9999999999999999
seq17439@3,seq1174@13,0.9999999999999999
seq17439@3,seq454@12,0.9999999999999999
seq17439@3,seq733@12,0.9999999999999999
seq17439@3,seq5372@9,0.9878787878787878
seq17439@3,seq1182@7,0.9999999999999999
seq17439@3,seq2663@7,0.9999999999999999
seq17439@3,seq5049@7,0.9999999999999999
seq17439@3,seq13013@6,0.9999999999999999
seq17439@3,seq3871@4,0.9878787878787878
seq17439@3,seq1974@6,0.9878787878787878
seq17439@3,seq714@9,0.9999999999999999
seq17439@3,seq1513@4,0.9999999999999999
seq17439@3,naive,0.9999999999999999
seq17439@3,seq3@11048,0.9999999999999999
seq1426@3,seq4392@17,0.9999999999999999
seq1426@3,seq8487@7,0.9999999999999999
seq1426@3,seq575@28,0.9878787878787878
seq1426@3,seq2476@5,0.9999999999999999
seq1426@3,seq1043@17,0.9999999999999999
seq1426@3,seq8185@4,0.9999999999999999
seq1426@3,seq2783@12,0.9999999999999999
seq1426@3,seq3834@14,0.9999999999999999
seq1426@3,seq9930@4,0.9999999999999999
seq1426@3,seq358@31,0.9999999999999999
seq1426@3,seq3308@3,0.9999999999999999
seq1426@3,seq3972@4,0.9878787878787878
seq1426@3,seq7774@3,0.9999999999999999
seq1426@3,seq6796@5,0.9999999999999999
seq1426@3,seq2319@13,0.9999999999999999
seq1426@3,seq10736@3,0.9999999999999999
seq1426@3,seq4642@8,0.9999999999999999
seq1426@3,seq14554@3,0.9999999999999999
seq1426@3,seq1728@20,0.9999999999999999
seq1426@3,seq2431@7,0.9999999999999999
seq1426@3,seq2959@7,0.9999999999999999
seq1426@3,seq153@29,0.9999999999999999
seq1426@3,seq1179@22,0.9999999999999999
seq1426@3,seq616@19,0.9999999999999999
seq1426@3,seq173@14,0.9999999999999999
seq1426@3,seq1174@13,0.9999999999999999
seq1426@3,seq454@12,0.9999999999999999
seq1426@3,seq733@12,0.9999999999999999
seq1426@3,seq5372@9,0.9878787878787878
seq1426@3,seq1182@7,0.9999999999999999
seq1426@3,seq2663@7,0.9999999999999999
seq1426@3,seq5049@7,0.9999999999999999
seq1426@3,seq13013@6,0.9999999999999999
seq1426@3,seq3871@4,0.9878787878787878
seq1426@3,seq1974@6,0.9878787878787878
seq1426@3,seq714@9,0.9999999999999999
seq1426@3,seq1513@4,0.9999999999999999
seq1426@3,naive,0.9999999999999999
seq1426@3,seq3@11048,0.9999999999999999
seq4392@17,seq8487@7,0.9999999999999999
seq4392@17,seq575@28,0.9878787878787878
seq4392@17,seq2476@5,0.9999999999999999
seq4392@17,seq1043@17,0.9999999999999999
seq4392@17,seq8185@4,0.9999999999999999
seq4392@17,seq2783@12,0.9999999999999999
seq4392@17,seq3834@14,0.9999999999999999
seq4392@17,seq9930@4,0.9999999999999999
seq4392@17,seq358@31,0.9999999999999999
seq4392@17,seq3308@3,0.9999999999999999
seq4392@17,seq3972@4,0.9878787878787878
seq4392@17,seq7774@3,0.9999999999999999
seq4392@17,seq6796@5,0.9999999999999999
seq4392@17,seq2319@13,0.9999999999999999
seq4392@17,seq10736@3,0.9999999999999999
seq4392@17,seq4642@8,0.9999999999999999
seq4392@17,seq14554@3,0.9999999999999999
seq4392@17,seq1728@20,0.9999999999999999
seq4392@17,seq2431@7,0.9999999999999999
seq4392@17,seq2959@7,0.9999999999999999
seq4392@17,seq153@29,0.9999999999999999
seq4392@17,seq1179@22,0.9999999999999999
seq4392@17,seq616@19,0.9999999999999999
seq4392@17,seq173@14,0.9999999999999999
seq4392@17,seq1174@13,0.9999999999999999
seq4392@17,seq454@12,0.9999999999999999
seq4392@17,seq733@12,0.9999999999999999
seq4392@17,seq5372@9,0.9878787878787878
seq4392@17,seq1182@7,0.9999999999999999
seq4392@17,seq2663@7,0.9999999999999999
seq4392@17,seq5049@7,0.9999999999999999
seq4392@17,seq13013@6,0.9999999999999999
seq4392@17,seq3871@4,0.9878787878787878
seq4392@17,seq1974@6,0.9878787878787878
seq4392@17,seq714@9,0.9999999999999999
seq4392@17,seq1513@4,0.9999999999999999
seq4392@17,naive,0.9999999999999999
