Filename,Radius_of_Gyration,Convex_Hull_Volume,Sequence_Entropy,Hydrophobic_Ratio,Charged_Ratio,Polar_Atom_Ratio,Heavy_Atom_Ratio,Average_Phi,Average_Psi,Sequence_Length,Avg_Eccentricity,Max_Eccentricity,Min_Eccentricity,Avg_Closeness,Max_Closeness,Min_Closeness,Avg_Eigenvector,Max_Eigenvector,Min_Eigenvector,Eigenvector_Centrality,K_Core_Number,Assortativity_Coefficient,Path_Length_Mean,Path_Length_Var,Residue_Packing_Density,Atomic_Clashes,Hydrophobic_Patch_Count,Molecular_Weight,Aromaticity,Instability_Index,Isoelectric_Point,GRAVY,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Avg_Packing_Density,Hydrophobic_Clusters,COM_X,COM_Y,COM_Z,Max_Atom_Distance,Num_Atoms,Centroid_X,Centroid_Y,Centroid_Z,Bounding_Box_Volume,Radius_of_Gyration,C_Count,O_Count,N_Count,S_Count,Atom_Count,H_Count,Avg_Distance,Max_Distance,Total_Weight,Density,Average_Phi,Average_Psi,Unique_Residues,Avg_Residue_Mass,Min_CA_Distance,Max_CA_Distance,Shape_Compactness,Num_Residues,Num_Edges,Avg_Degree,Clustering_Coefficient,Betweenness_Centrality,Graph_Density,Z_Spread,Max_Atom_Distance
naive,16.252,55238.144,3.926,0.398,0.179,0.196,0.513,-1.488,1.349,123,6.674796748,9,5,0.289891774,0.382554517,0.17036626,0.026257023,0.127618971,2.30E-06,0.026256267,17.91382114,0.678487704,3.537635006,1.874705624,32.55284553,36521,671,13114.289,0.105691057,35.93170732,4.988326454,-0.264227642,0.105691057,0.016260163,0.048780488,0.048780488,0.024390244,0.113821138,0,0.016260163,0.032520325,0.081300813,0.016260163,0.032520325,0.008130081,0.048780488,0.048780488,0.146341463,0.056910569,0.073170732,0.024390244,0.056910569,126.32,132,8.425,16.068,3.399,62.854,8990,8.425,16.068,3.399,128954.68,16.214,2850,950,790,20,8990,4380,21.238,63.346,65552.84,0.477,-1.487788846,1.349012315,19,106.59,0.38,56.14,2.435,123,600,9.756097561,0.564123974,0.020449121,0.079968013,47.66,63.35
seq946@4,15.603,55948.32,3.958,0.39,0.187,0.194,0.512,-1.506,1.536,123,6.385365854,8,5,0.298557385,0.394094994,0.191217689,0.02697953,0.129495282,1.30E-05,0.026978696,18.87154472,0.690725872,3.431449534,1.690430056,34.13495935,38750,695,13194.4168,0.105691057,33.16666667,4.990941048,-0.261788618,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.073170732,0.073170732,0.024390244,0.056910569,133.44,137,7.478,17.226,-1.617,57.143,9055,7.478,17.226,-1.617,115368.73,15.585,2880,950,790,20,9055,4415,20.471,57.143,65948.42,0.545,-1.505988888,1.536002265,20,107.23,0.22,51.25,2.492,123,612,9.951219512,0.557625219,0.019939132,0.081567373,48.75,57.14
seq11978@4,15.765,50654.818,3.954,0.39,0.187,0.194,0.512,-1.52,1.582,123,6.473170732,9,5,0.297515901,0.394855305,0.187767584,0.02685508,0.117490826,1.92E-05,0.026854473,19.39186992,0.675432583,3.438302598,1.72778772,35.13333333,41168,723,13208.4434,0.105691057,34.54715447,4.990941048,-0.26504065,0.089430894,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.097560976,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.073170732,0.06504065,0.024390244,0.056910569,138.78,129,8.656,16.857,-2.024,58.416,9070,8.656,16.857,-2.024,114409.13,15.748,2885,950,790,20,9070,4425,20.621,58.416,66018.55,0.559,-1.520054036,1.581706311,20,107.34,0.34,54.18,2.443,123,610,9.918699187,0.559163849,0.020062498,0.081300813,45.87,58.42
seq12399@2,17.923,66814.737,4,0.412,0.196,0.193,0.511,-1.477,1.608,97,7.474226804,10,5,0.262625483,0.355620867,0.160904255,0.025677963,0.157909382,1.03E-06,0.025677209,13.33402062,0.736670876,3.936044213,2.667717501,24.30309278,22565,371,10599.6767,0.113402062,38.83608247,5.696881294,-0.248453608,0.103092784,0.020618557,0.06185567,0.041237113,0.030927835,0.092783505,0.010309278,0.020618557,0.030927835,0.103092784,0.020618557,0.020618557,0.010309278,0.041237113,0.06185567,0.134020619,0.06185567,0.051546392,0.020618557,0.06185567,93.8,147,5.023,16.642,0.479,69.249,7290,5.023,16.642,0.479,150617.42,17.827,2320,745,640,20,7290,3565,23.268,69.249,52984.52,0.332,-1.477246491,1.607579788,20,109.24,0.22,61.19,2.31,97,437,9.010309278,0.561411097,0.024604359,0.093857388,64.07,69.25
seq4869@4,17.11,60077.981,3.947,0.398,0.187,0.196,0.514,-1.617,1.433,123,7.185365854,10,5,0.276339937,0.365258775,0.169285911,0.02456279,0.134891104,4.97E-06,0.024562324,16.57073171,0.699994293,3.720092538,2.253364417,31.03577236,34660,637,13165.3325,0.105691057,36.50731707,4.67139225,-0.238211382,0.097560976,0.016260163,0.056910569,0.056910569,0.024390244,0.12195122,0.008130081,0.016260163,0.024390244,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,120.92,146,4.924,15.228,6.531,66.406,9000,4.924,15.228,6.531,152047.02,17.05,2870,955,785,20,9000,4370,22.234,66.406,65792.91,0.421,-1.6169873,1.432551893,20,106.98,0.42,62.45,2.331,123,604,9.821138211,0.556314307,0.020223316,0.080501133,51.32,66.41
seq1891@19,16.62,61603.931,3.966,0.398,0.179,0.194,0.512,-1.579,1.458,123,6.816260163,10,5,0.27900497,0.375995101,0.175981657,0.023226704,0.145244713,7.02E-06,0.023226182,15.6504065,0.728429206,3.671772093,1.920984797,28.98861789,32254,586,13163.406,0.105691057,35.07886179,5.26297245,-0.241463415,0.097560976,0.016260163,0.048780488,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.024390244,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,112.9,151,4.356,16.29,3.608,65.63,9045,4.356,16.29,3.608,148176.22,16.617,2875,940,795,20,9045,4415,21.808,65.63,65798.42,0.416,-1.578685534,1.458188625,20,106.99,0.44,57.8,2.497,123,606,9.853658537,0.547621732,0.020001917,0.080767693,51.24,65.63
seq1064@3,15.762,58709.659,3.953,0.407,0.179,0.193,0.512,-1.618,1.443,123,6.617886179,9,5,0.295407343,0.399219766,0.184107946,0.026286124,0.131703186,6.02E-06,0.02628574,17.99837398,0.708855548,3.472499174,1.730023664,33.15934959,37511,659,13212.4766,0.113821138,35.46910569,5.26297245,-0.223577236,0.097560976,0.016260163,0.048780488,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.06504065,130.19,143,4.195,17.781,-0.762,57.642,9080,4.195,17.781,-0.762,120955.43,15.741,2900,940,790,20,9080,4430,20.68,58.438,66043.74,0.539,-1.618005293,1.443456194,20,107.39,0.53,54.02,2.496,123,589,9.577235772,0.550304077,0.02059672,0.078501933,47.8,58.44
seq59@3,15.931,59953.609,3.957,0.407,0.187,0.194,0.512,-1.522,1.553,123,6.679674797,9,5,0.290915611,0.386649874,0.178540273,0.025678551,0.13653881,1.14E-05,0.025677798,17.11544715,0.704009031,3.523648622,1.793738449,31.89918699,36069,639,13148.3914,0.105691057,31.60081301,4.990941048,-0.220325203,0.105691057,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.12195122,0.06504065,0.073170732,0.024390244,0.056910569,125.45,148,6.879,17.493,1.459,58.182,9030,6.879,17.493,1.459,140812.03,15.921,2875,940,790,20,9030,4405,20.899,58.182,65718.29,0.452,-1.521571771,1.552543942,20,106.86,0.27,52.68,2.493,123,607,9.869918699,0.556044317,0.020060295,0.080900973,55.73,58.18
seq2286@3,15.57,56487.107,3.982,0.398,0.187,0.193,0.512,-1.559,1.41,123,6.531707317,9,5,0.30053762,0.398184176,0.178800233,0.027301568,0.130432409,2.78E-06,0.027300735,18.67154472,0.671944246,3.412466125,1.678213292,34.21138211,38675,693,13174.4287,0.105691057,33.85691057,4.990941048,-0.24796748,0.097560976,0.016260163,0.056910569,0.048780488,0.024390244,0.12195122,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.016260163,0.048780488,0.048780488,0.12195122,0.06504065,0.073170732,0.024390244,0.056910569,134.37,141,5.257,17.713,-4.133,56.467,9050,5.257,17.713,-4.133,125669.54,15.55,2885,940,790,20,9050,4415,20.422,56.956,65848.47,0.501,-1.559463973,1.410269814,20,107.07,0.47,53.36,2.491,123,611,9.93495935,0.552392436,0.019893971,0.081434093,50.17,56.96
seq2941@6,16.296,56910.511,3.975,0.398,0.187,0.194,0.512,-1.578,1.362,123,7.320325203,11,6,0.292746664,0.387626263,0.160062565,0.025731219,0.136934458,2.46E-07,0.025730892,18.10243902,0.713512953,3.522802565,2.044062633,33.42601626,37751,625,13210.4824,0.105691057,37.42926829,4.990941048,-0.217886179,0.097560976,0.024390244,0.056910569,0.048780488,0.024390244,0.113821138,0.008130081,0.016260163,0.032520325,0.089430894,0.016260163,0.016260163,0.008130081,0.048780488,0.048780488,0.130081301,0.06504065,0.073170732,0.024390244,0.056910569,130.48,147,3.164,17.395,3.162,72.445,9055,3.164,17.395,3.162,138496.78,16.224,2880,945,790,25,9055,4415,21.176,72.58,66028.77,0.466,-1.577959259,1.362043658,20,107.36,0.39,67.85,2.332,123,616,10.01626016,0.551996805,0.019789329,0.082100493,44.91,72.58
