Filename,Radius_of_Gyration,Convex_Hull_Volume,Sequence_Entropy,Hydrophobic_Ratio,Charged_Ratio,Polar_Atom_Ratio,Heavy_Atom_Ratio,Average_Phi,Average_Psi,Sequence_Length,Avg_Eccentricity,Max_Eccentricity,Min_Eccentricity,Avg_Closeness,Max_Closeness,Min_Closeness,Avg_Eigenvector,Max_Eigenvector,Min_Eigenvector,Eigenvector_Centrality,K_Core_Number,Assortativity_Coefficient,Path_Length_Mean,Path_Length_Var,Residue_Packing_Density,Atomic_Clashes,Hydrophobic_Patch_Count,14317.8178,0.140625,40.97578125,8.897813606,-0.40234375,0.0625,0.015625,0.046875,0.0390625,0.03125,0.109375,0.0078125,0.0234375,0.046875,0.0703125,0.015625,0.046875,0.015625,0.046875,0.0625,0.1171875,0.0390625,0.09375,0.03125,0.078125,Avg_Packing_Density,Hydrophobic_Clusters,COM_X,COM_Y,COM_Z,Max_Atom_Distance,Num_Atoms,Centroid_X,Centroid_Y,Centroid_Z,Bounding_Box_Volume,Radius_of_Gyration,C_Count,O_Count,N_Count,S_Count,Atom_Count,H_Count,Avg_Distance,Max_Distance,Total_Weight,Density,Average_Phi,Average_Psi,Unique_Residues,Avg_Residue_Mass,Min_CA_Distance,Max_CA_Distance,Shape_Compactness,Num_Residues,Num_Edges,Avg_Degree,Clustering_Coefficient,Betweenness_Centrality,Graph_Density,Z_Spread,Max_Atom_Distance,Num_Chains,Num_Atoms
naive,16.895,73788.239,4.057,0.406,0.195,0.189,0.511,-1.483,1.509,128,7.1828125,10,5,0.279063771,0.373247664,0.153127247,0.02491084,0.129230583,3.20E-07,0.024910185,17.0234375,0.719237453,3.69519043,2.115328431,31.290625,38468,649,14317.8178,0.140625,40.97578125,8.897813606,-0.40234375,0.0625,0.015625,0.046875,0.0390625,0.03125,0.109375,0.0078125,0.0234375,0.046875,0.0703125,0.015625,0.046875,0.015625,0.046875,0.0625,0.1171875,0.0390625,0.09375,0.03125,0.078125,121.96,161,6.327,16.208,1.782,60.718,9890,6.327,16.208,1.782,170380.36,16.857,3190,965,880,20,9890,4835,22.119,61.189,71595.78,0.393,-1.483467443,1.508626954,20,111.87,0.25,57.34,2.429,128,617,9.640625,0.574448338,0.020764006,0.075910433,59.34,61.19,5,9890
seq615@13,16.614,69769.275,4.084,0.398,0.219,0.191,0.508,-1.535,1.424,128,7.0546875,10,5,0.284690372,0.380810489,0.166146646,0.025257801,0.13007209,1.34E-06,0.025257489,18.134375,0.70346822,3.62449707,2.091707511,33.2828125,41951,753,14338.907,0.109375,33.509375,8.636458778,-0.4203125,0.0703125,0.015625,0.0390625,0.0625,0.0234375,0.09375,0.0078125,0.03125,0.0390625,0.078125,0.0234375,0.0625,0.015625,0.03125,0.078125,0.109375,0.046875,0.0859375,0.03125,0.0546875,130.33,159,10.412,15.079,-2.535,66.303,9930,10.412,15.079,-2.535,133356.45,16.596,3145,970,905,25,9930,4885,21.712,67.524,71696.33,0.518,-1.535140348,1.424331041,20,112.02,0.33,61.74,2.414,128,615,9.609375,0.569922612,0.021099902,0.07566437,51.26,67.52,5,9930
seq3429@4,16.186,59705.026,4.046,0.406,0.227,0.192,0.507,-1.643,1.375,128,7.0140625,9,5,0.292858458,0.388686131,0.154236061,0.026778762,0.124828666,3.26E-07,0.026777434,21.203125,0.631424333,3.512290039,1.990073564,38.003125,52162,948,14480.0813,0.109375,35.946875,8.960541344,-0.47734375,0.0703125,0.015625,0.0390625,0.0625,0.0078125,0.09375,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0625,0.015625,0.03125,0.09375,0.1015625,0.0390625,0.0859375,0.03125,0.0703125,152.55,132,11.483,13.755,5.411,60.559,10040,11.483,13.755,5.411,144920.69,16.116,3170,970,930,25,10040,4945,21.113,61.908,72407.31,0.472,-1.642932071,1.375376004,20,113.13,0.36,53.84,2.395,128,610,9.53125,0.567750088,0.020551142,0.075049213,57.23,61.91,5,10040
seq1027@15,16.977,67934.639,4.056,0.422,0.219,0.19,0.507,-1.566,1.528,128,7.178125,10,5,0.279763075,0.3752202,0.156617647,0.024244074,0.129979018,8.35E-07,0.024243709,18.3640625,0.708933648,3.682143555,2.130466304,33.5140625,43312,849,14438.0891,0.1171875,36.0265625,9.201588631,-0.40546875,0.078125,0.015625,0.0390625,0.0546875,0.015625,0.1015625,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0625,0.015625,0.03125,0.09375,0.09375,0.03125,0.0859375,0.03125,0.0703125,130.78,150,3.399,16.85,-0.833,65.47,10025,3.399,16.85,-0.833,158173.34,16.898,3180,950,930,25,10025,4940,22.188,66.847,72202.37,0.443,-1.565618334,1.527552851,20,112.81,0.32,56.99,2.42,128,612,9.5625,0.560723608,0.021107713,0.075295276,64.84,66.85,5,10025
seq392@9,16.446,65789.545,4.061,0.422,0.219,0.19,0.509,-1.549,1.36,128,7.48125,10,6,0.284169602,0.372594752,0.150530035,0.026057963,0.131569229,1.18E-07,0.026056559,20.86875,0.646396498,3.63137207,2.217809739,36.9265625,50782,973,14411.0174,0.1171875,34.4734375,8.618729973,-0.39765625,0.078125,0.015625,0.0390625,0.0625,0.015625,0.1015625,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0625,0.015625,0.03125,0.0859375,0.09375,0.03125,0.0859375,0.03125,0.0703125,145.67,145,3.701,17.489,-2.604,63.584,9980,3.701,17.489,-2.604,144419.39,16.431,3175,960,915,25,9980,4905,21.449,65.24,72056.89,0.481,-1.549156994,1.359707541,20,112.59,0.03,58.58,2.38,128,613,9.578125,0.568997149,0.021037409,0.075418307,62.54,65.24,5,9980
seq3589@2,16.943,61042.476,4.052,0.422,0.227,0.191,0.509,-1.59,1.443,128,6.834375,9,5,0.280117467,0.373465809,0.169631006,0.023893575,0.126237559,5.66E-06,0.023893212,17.86875,0.718057912,3.660136719,1.98636795,32.928125,42729,825,14511.0935,0.1171875,36.41875,8.036838341,-0.4265625,0.078125,0.015625,0.0390625,0.0703125,0.015625,0.09375,0.0078125,0.0390625,0.0234375,0.078125,0.0234375,0.0625,0.015625,0.03125,0.09375,0.09375,0.03125,0.0859375,0.03125,0.0703125,128.18,142,5.939,15.996,3.183,61.058,10030,5.939,15.996,3.183,138097.23,16.942,3190,970,925,25,10030,4920,22.171,61.941,72552.26,0.497,-1.589966386,1.443096226,20,113.36,0.13,53.57,2.443,128,614,9.59375,0.572067949,0.02058727,0.075541339,59.23,61.94,5,10030
seq2410@12,17.125,71327.419,4.056,0.422,0.227,0.19,0.507,-1.571,1.402,128,7.003125,9,5,0.276346432,0.368937644,0.167058824,0.024267903,0.128894759,1.26E-06,0.024267305,16.44375,0.706356677,3.724765625,2.122283148,30.796875,38404,749,14483.1265,0.1171875,36.71953125,8.960541344,-0.40859375,0.078125,0.015625,0.0390625,0.0625,0.015625,0.09375,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0546875,0.015625,0.03125,0.09375,0.1015625,0.03125,0.0859375,0.03125,0.0703125,118.54,172,10.364,14.306,3.425,61.532,10050,10.364,14.306,3.425,161566.12,17.067,3190,960,925,25,10050,4950,22.434,63.02,72422.5,0.431,-1.570920166,1.401996149,20,113.16,0.28,55.87,2.458,128,616,9.625,0.558845321,0.020199623,0.075787402,56.44,63.02,5,10050
seq23@6,17.938,74634.271,4.066,0.422,0.234,0.19,0.508,-1.59,1.457,128,7.346875,10,5,0.259852758,0.346717309,0.162388818,0.022380079,0.132538985,3.08E-06,0.022379824,16.18125,0.745464417,3.961274414,2.485331384,29.6140625,38401,740,14511.1366,0.1171875,32.6234375,8.618536568,-0.4296875,0.078125,0.015625,0.046875,0.0625,0.015625,0.09375,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0546875,0.015625,0.03125,0.09375,0.09375,0.03125,0.0859375,0.03125,0.0703125,114.97,167,5.514,15.587,2.034,65.988,10055,5.514,15.587,2.034,194427.34,17.896,3195,965,925,25,10055,4945,23.435,66.013,72557.51,0.354,-1.589987168,1.456962329,20,113.37,0.27,58.03,2.411,128,616,9.625,0.564390124,0.020803064,0.075787402,65.2,66.01,5,10055
seq3293@3,16.833,67390.391,4.056,0.422,0.227,0.19,0.507,-1.536,1.481,128,7.43125,10,5,0.284247936,0.376325088,0.144243792,0.027092846,0.122863566,4.85E-08,0.027091321,19.190625,0.64698352,3.629990234,2.240680664,35.2703125,45582,892,14483.1265,0.1171875,36.10078125,8.960541344,-0.40859375,0.078125,0.015625,0.0390625,0.0625,0.015625,0.09375,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0546875,0.015625,0.03125,0.09375,0.1015625,0.03125,0.0859375,0.03125,0.0703125,138.76,152,3.472,17.189,-3.799,66.986,10050,3.472,17.189,-3.799,147734.31,16.773,3190,960,925,25,10050,4950,21.894,68.664,72422.5,0.455,-1.536177901,1.480725153,20,113.16,0.12,58.73,2.353,128,619,9.671875,0.56467803,0.020489626,0.076156496,59.02,68.66,5,10050
seq801@4,16.843,71242.734,4.067,0.414,0.234,0.192,0.508,-1.615,1.467,128,7.0359375,9,5,0.282039503,0.375440658,0.158994775,0.024478986,0.128351575,4.66E-07,0.024478027,17.0109375,0.703713747,3.653491211,2.066499042,31.6703125,39242,771,14462.066,0.109375,37.71875,8.636071968,-0.446875,0.078125,0.015625,0.046875,0.0625,0.015625,0.09375,0.0078125,0.0390625,0.03125,0.078125,0.0234375,0.0625,0.015625,0.03125,0.09375,0.09375,0.03125,0.0859375,0.03125,0.0625,122.84,167,4.171,17.32,0.228,60.234,10020,4.171,17.32,0.228,139724.95,16.795,3170,965,930,25,10020,4930,22.053,61.588,72312.19,0.496,-1.615357195,1.46652705,20,112.98,0.39,56.3,2.449,128,605,9.453125,0.555830584,0.020576529,0.074434055,55.67,61.59,5,10020
